Country,Person Count
CHINA,4094899
UNITED STATES,3267056
PHILIPPINES,2290998
UNITED KINGDOM,1271136
BRAZIL,1125296
RUSSIA,1050044
ITALY,801573
MEXICO,751570
INDIA,526091
FRANCE,523508
INDONESIA,408801
UKRAINE,329734
CANADA,321931
SPAIN,317181
GERMANY,297397
MALAYSIA,273484
SOUTH KOREA,270451
AUSTRALIA,263360
KAZAKHSTAN,237113
PERU,211361
COLOMBIA,195456
POLAND,195189
TURKEY,185034
ARGENTINA,177635
CHILE,164296
CZECHIA,111399
ECUADOR,110891
VIETNAM,106223
IRAN,102134
IRELAND,93123
TAIWAN,88205
PORTUGAL,86543
BELARUS,85767
SWEDEN,85663
ROMANIA,78673
BELGIUM,74376
HONG KONG SAR CHINA,72507
THAILAND,71531
ARMENIA,62488
NETHERLANDS,60974
GREECE,60428
BANGLADESH,58589
SOUTH AFRICA,57663
AFGHANISTAN,56933
EGYPT,55496
HUNGARY,52296
UZBEKISTAN,50902
ALBANIA,48169
SAUDI ARABIA,47648
ALGERIA,47245
COSTA RICA,47175
AUSTRIA,46955
UNITED ARAB EMIRATES,44595
NEW ZEALAND,42027
SWITZERLAND,41879
JAPAN,39888
BOLIVIA,38415
SLOVAKIA,38334
ISRAEL,38075
AZERBAIJAN,36694
GUATEMALA,35632
SINGAPORE,35041
SERBIA,34579
VENEZUELA,34132
CROATIA,32149
NORWAY,31144
AMERICAN SAMOA,30289
DENMARK,29808
MOROCCO,29501
KYRGYZSTAN,29258
IRAQ,26367
BULGARIA,25771
ANDORRA,25282
PAKISTAN,24527
FINLAND,23072
MOLDOVA,22943
EL SALVADOR,22416
GEORGIA,21222
PANAMA,21182
LITHUANIA,21173
HONDURAS,20587
PUERTO RICO,20533
BOSNIA & HERZEGOVINA,20068
LEBANON,20004
LATVIA,18550
DOMINICAN REPUBLIC,17666
JORDAN,16493
NEPAL,16272
SRI LANKA,16063
URUGUAY,15202
PARAGUAY,15187
ANGOLA,15072
TUNISIA,14411
ESTONIA,12775
TRINIDAD & TOBAGO,11985
ANTARCTICA,10211
NICARAGUA,9885
SLOVENIA,9813
ANGUILLA,9769
MYANMAR (BURMA),9400
KUWAIT,9141
CYPRUS,8339
NORTH MACEDONIA,8242
BAHRAIN,8203
ARUBA,7561
NORTH KOREA,7526
BAHAMAS,7524
KOSOVO,7521
CANARY ISLANDS,7279
SYRIA,6944
QATAR,6834
ASCENSION ISLAND,6493
MACAO SAR CHINA,6349
ANTIGUA & BARBUDA,6015
MALDIVES,5958
NIGERIA,5501
MALTA,5394
CAMBODIA,5380
OMAN,5191
PALESTINIAN TERRITORIES,4780
BRUNEI,4694
KENYA,4628
GUYANA,4477
MONTENEGRO,4451
MAURITIUS,3488
LUXEMBOURG,3451
RÉUNION,3325
ZIMBABWE,3279
CUBA,3208
CHRISTMAS ISLAND,3131
ICELAND,3096
MONGOLIA,3012
BELIZE,3007
YEMEN,2860
LIBYA,2757
TAJIKISTAN,2695
TANZANIA,2651
JAMAICA,2628
BRITISH VIRGIN ISLANDS,2559
SUDAN,2552
GHANA,2470
ETHIOPIA,2103
TURKMENISTAN,2067
CHAD,2066
BHUTAN,2033
BARBADOS,2015
GUAM,1710
BERMUDA,1700
FIJI,1557
BRITISH INDIAN OCEAN TERRITORY,1533
FRENCH POLYNESIA,1491
BOTSWANA,1481
JERSEY,1458
MADAGASCAR,1415
ISLE OF MAN,1336
NIGER,1223
BENIN,1206
ZAMBIA,1194
GUADELOUPE,1192
SURINAME,1139
UGANDA,1126
CAMEROON,1117
CARIBBEAN NETHERLANDS,1112
CAPE VERDE,1097
CEUTA & MELILLA,1079
CAYMAN ISLANDS,1068
FRENCH GUIANA,1064
CÔTE D’IVOIRE,1062
MONACO,1048
MARTINIQUE,936
BURUNDI,923
GIBRALTAR,916
DOMINICA,881
GUERNSEY,877
FRENCH SOUTHERN TERRITORIES,856
CENTRAL AFRICAN REPUBLIC,851
NEW CALEDONIA,840
BURKINA FASO,814
SENEGAL,790
MOZAMBIQUE,771
U.S. VIRGIN ISLANDS,766
LAOS,736
NAMIBIA,729
CURAÇAO,729
NORTHERN MARIANA ISLANDS,712
COCOS (KEELING) ISLANDS,663
GREENLAND,636
VATICAN CITY,610
CONGO - KINSHASA,604
SOMALIA,594
HAITI,567
RWANDA,534
COMOROS,490
COOK ISLANDS,489
CONGO - BRAZZAVILLE,470
MALI,468
MARSHALL ISLANDS,454
GABON,452
SOUTH SUDAN,451
MALAWI,443
SAN MARINO,438
EQUATORIAL GUINEA,430
GRENADA,428
PITCAIRN ISLANDS,419
ERITREA,404
DJIBOUTI,398
FAROE ISLANDS,390
ESWATINI,371
MAYOTTE,368
MAURITANIA,368
SAMOA,366
DIEGO GARCIA,361
LIECHTENSTEIN,355
U.S. OUTLYING ISLANDS,345
TURKS & CAICOS ISLANDS,340
WALLIS & FUTUNA,332
TOGO,332
PAPUA NEW GUINEA,324
VANUATU,311
MICRONESIA,297
SINT MAARTEN,294
GUINEA,294
GAMBIA,283
ST. MARTIN,282
LIBERIA,277
PALAU,275
ST. LUCIA,267
FALKLAND ISLANDS,264
WESTERN SAHARA,263
SEYCHELLES,219
SOUTH GEORGIA & SOUTH SANDWICH ISLANDS,198
SIERRA LEONE,196
TIMOR-LESTE,188
MONTSERRAT,188
ÅLAND ISLANDS,170
ST. VINCENT & GRENADINES,164
ST. KITTS & NEVIS,164
TONGA,160
LESOTHO,158
SÃO TOMÉ & PRÍNCIPE,150
GUINEA-BISSAU,142
ST. PIERRE & MIQUELON,140
NORFOLK ISLAND,139
TUVALU,136
KIRIBATI,135
SOLOMON ISLANDS,128
ST. HELENA,123
SVALBARD & JAN MAYEN,118
NIUE,114
NAURU,114
TOKELAU,107
ST. BARTHÉLEMY,107
TRISTAN DA CUNHA,87
PSEUDO-BIDI,1
